lab_name,plan_id,nb_features,days_subscribed,nb_cases_month,nb_units_month,nb_other_settings_month,nb_other_products_month,nb_clients_month,nb_shipping_zipcodes_month,cluster_5,cluster_6
M8M-A506,6,19,1279,382,617,1,0,382,382,1,2
M6H-C600,7,23,794,251,416,32,97,251,251,1,2
M3L-D750,6,20,1990,193,299,7,11,193,193,1,2
M19Y-E558,11,14,459,49,210,0,0,49,47,3,6
M7R-E583,6,19,1192,54,149,1,135,54,26,1,2
M9A-E430,6,20,1431,241,363,57,0,241,239,1,2
M12B-I604,9,2,493,355,501,11,0,355,355,3,6
M8H-I348,6,20,1513,341,427,40,0,341,341,1,2
M6Y-I495,9,8,165,391,452,0,0,391,385,3,6
M9A-I258,6,20,1451,202,462,8,0,202,202,1,2
M4T-I875,10,10,441,113,124,0,0,113,113,3,6
M10L-I144,6,19,1767,111,326,0,2,111,111,1,2
M12N-O606,6,20,1419,268,404,26,6,268,268,1,2
M17S-O621,7,23,1098,985,987,240,0,985,979,5,1
M14L-O315,8,21,1878,437,630,57,3,437,437,1,2
M3M-R708,4,23,989,1649,2484,0,0,1649,1578,2,3
M11L-Y784,6,19,1405,150,194,1,0,150,122,1,2
M6B-Y362,5,6,717,8,8,0,0,8,7,3,6
N29C-A355,10,8,183,376,642,0,45,376,372,3,6
N17S-A206,6,20,1613,146,290,123,0,146,140,1,2
N12S-A369,10,8,381,62,92,1,0,62,62,3,6
N21B-A858,9,1,180,84,133,27,0,84,84,3,6
N13S-A797,6,19,1577,189,205,11,0,189,189,1,2
N13B-A992,5,5,1104,525,733,52,0,525,525,3,6
N8A-E336,6,19,2244,253,345,58,0,253,253,1,2
N12H-E106,9,8,582,159,283,0,3,159,158,3,6
N13B-E833,10,9,298,403,673,0,0,403,402,3,6
N8S-G872,11,14,507,13,13,0,0,13,12,3,6
N21B-L869,10,8,401,94,163,0,0,94,50,3,6
N10K-O398,6,19,1431,222,347,52,2,222,222,1,2
N19S-O656,6,19,1319,201,312,54,0,201,201,1,2
N9T-O377,7,17,800,63,94,0,2,63,63,1,2
N13L-U648,7,19,1138,413,846,30,52,413,413,5,1
O13L-C250,3,16,68,8,10,0,0,8,8,3,6
O16B-C718,7,18,1152,303,424,27,0,303,274,1,2
O7K-M934,6,20,1520,171,225,7,0,171,169,1,2
O12S-R997,11,14,380,195,390,30,0,195,100,3,6
O9C-R768,2,8,171,22,41,11,0,22,22,3,6
O7K-R800,9,1,188,75,125,14,0,75,75,3,6
O9O-R569,2,7,38,33,33,0,0,33,33,3,6
O11N-R150,7,16,842,769,1296,0,0,769,271,5,1
O9P-R202,11,14,386,216,218,0,0,216,216,3,6
O9S-R569,2,15,1076,286,1008,312,6,286,277,5,1
O10W-S396,2,7,88,4,5,0,0,4,1,3,6
P4L-A813,7,16,1105,132,202,0,0,132,130,1,2
P9T-A542,4,23,1523,2713,3905,199,36,2713,2634,2,3
P3A-D376,7,18,619,535,900,31,8,535,535,5,1
P5C-D703,5,6,765,131,528,2,9,131,21,3,6
P3C-D431,6,19,1580,148,230,0,2,148,148,1,2
P4I-D617,6,19,1642,37,56,1,4,37,37,1,2
P3L-D642,6,19,2347,20,32,0,0,20,19,1,2
P5L-E311,10,11,450,490,731,0,3,490,490,3,6
P11L-E656,6,19,2190,57,82,1,0,57,56,1,2
P23B-E866,5,4,760,30,60,0,4,30,25,3,6
P6T-E179,8,21,1202,11,13,0,0,11,0,1,2
P11B-F790,2,15,87,924,1193,531,0,924,924,5,1
P16L-H675,7,17,674,179,512,3,14,179,179,1,2
P14T-I655,6,19,1571,26,56,0,5,26,26,1,2
